French,Yoruba,pos
Père,Bàbá,N
Mère,Ìyá,N
Tante,àntí,N
sœur,arábìnrin,N
Frère,arákùnrin,N
Fils,ọmọkùnrin,N
Fille,ọmọbìnrin,N
homme,ọkùnrin,N
Chat,músù,N
Chien,ajá,N
poulet,adìyẹ,N
chèvre,ewúrẹ́,N
mouchard,èkúté,N
Maison,ilé,N
Salon,páálọ,N
chambre,Yààrá,N
Salle de manger,Yààrá -ìjẹun,N
Toilette,Yààrá -Ìgbọ̀nsẹ̀,N
chaise,ìjókòó,N
Table,tábìlì,N
tapis,kápẹ́ẹ̀tì,N
Télé,ẹ̀rọ amóhùnmáwòran,N
Ventilateur,fáànù,N
Fenêtre,Fèrèsé,N
Rideau,aṣọ ìlékè,N
Lumière,Iná ìjọba,N
feu,iná,N
tasse,ife,N
assiette,abọ́,N
Cuillère,ṣíbí,N
Couteau,Ọ̀bẹ,N
Panier,Apẹ̀ẹ̀rẹ̀,N
Eau,Omi,N
Nourriture,Oúnjẹ,N
Riz,ìrẹsì,N
igname,iṣu,N
banane plantain,ògẹ̀dẹ̀-àgbagbà,N
haricot,ẹ̀wà,N
maïs,àgbàdo,N
Lit,ibùsùn,N
Miroir,díńgí,N
Savon,ọṣẹ,N
réfrigérateur,ẹ̀rọ amóhuntutù,N
journal,ìwé ìròyìn,N
tasse,ife,N
salle de bain,balùwẹ̀,N
canapé,ìjókòó,N
radio,ẹ̀rọ-asọ̀rọ̀-má-gbèsì,N
clé,Kọ́kọ́rọ,N
livre,ìwé,N
véhicule,ọkọ̀,N
Tayo,Táyọ̀,N
Fola,Fọlá,N
chaise,àga,N
Ibukun,Ìbùkún,N
Bayọ,Báyọ̀,N
Fẹmi,Fẹ́mi,N
marmite,ìsáàsùn,N
enfant,Ọmọ,N
Busola,Bùsọ́lá,N
vent,afẹ́fẹ́,N
porte,ilẹ̀kùn,N
orange,ọsàn,N
fruit,èso,N
Tola,Tóla,N
vêtement,aṣọ,N
Tunde,Túndé,N
histoire,ìtàn,N
chambre,ìyẹ̀wu,N
lido,lídò,N
parent,òbí,N
famille,mọ̀lẹ́bí,N
nouvelles,ìròyìn,N
au feu,léná,N
d’eau,omi,N
l’eau,omi,N
repar,Oúnje,N
J’,mo,PN
Je,mo,PN
Tu,o,PN
Il,ó,PN
Elle,ó,PN
Nous,a,PN
Vous,ẹ,PN
Elles,wọn,PN
Ils,wọn,PN
au feu,léná,V
donne,fún,V
les,náà,V
est,wà,V
sur,lórí,V
vais,ń lọ,V
dors,ń sùn,V
ouvre,ń ṣí,V
nettoie,ń nu,V
assis,jókòó,V
regardons,ń wo,V
regarde,ń wo,V
prie,ń gbàdúrà,V
discutons,ń tàkurọ̀sọ,V
écoute,ń tẹ́ti-sí,V
cuillère,ṣíbí,V
habite,ń gbé,V
avec,pẹ̀lú,V
famille,mọ̀lẹ́bí,V
devant,níwájú,V
clé,Kọ́kọ́rọ,V
livre,ìwé,V
réfrigérateur,Ẹ̀rọ-amóhuntutù,V
mange,ń jẹ,V
aime,nífẹ̀ẹ́,V
arrange,to,V
s’assoit,jókòó,V
allume,tan,V
lit,ń ka,V
prépare,ń se,V
soufre,fẹ́,V
aime,fẹ́ràn,V
vais,ń lọ,V
balaie,ń gbá,V
ferme,ti,V
mets,ń gbé,V
bois,ń mu,V
ouvre,ṣí,V
prends,mú,V
mis,fi,V
prépare,ń dáná,V
discute,tàkurọ̀so,V
lave,fọ,V
raconte,sọ,V
histoire,ìtàn,V
dort,sùn,V
fait,ń,V
frire,dín,V
jouent,ń tayò,V
travaille,ń ṣiṣẹ́,V
appel,ń pe,V
appelle,ń pe,V
écoute,ń gbọ́,V
sautent,ń fo,V
lis,ka,V
salue,kí,V
sommes,wà,V
prie,gbàdúrà,V
fait,mú,V
chaud,ooru,V
suis,wà,V
balaie,gbálẹ̀,V
élevons,ń sin,V
avec,pẹ̀lú,P
dans,nínú,P
derrière,lẹ́yìn,P
devant,níwájú,P
pour,fún,P
sans,láìsí,P
sous,lábẹ́,P
sur,lórí,P
intérieur,nínú,P
dehors,ìta,P
extérieur,ìta,P
à,sí,P
chaud,gbóná,Adj
petit,kéékére,Adj
prête,ṣetán,Adj
FEMININE,FEMININE,Adj
joie,ayọ̀,Adj
petite,kéré,Adj
jeune,kéré,Adj
mon,mi,PosN
ton,mi,PosN
son,rẹ̀,PosN
ma,mi,PosN
ta,rẹ̀,PosN
sa,rẹ̀,PosN
mes,rẹ̀,PosN
tes,rẹ̀,PosN
ses,rẹ̀,PosN
notre,rẹ̀,PosN
votre,rẹ̀,PosN
leur,rẹ̀,PosN
nos,rẹ̀,PosN
vos,rẹ̀,PosN
leurs,rẹ̀,PosN
me,máa,PosN
actuellement,lọ́wọ́lọ́wọ́,Adv
bientôt,láìpẹ́,Adv
Chaque-matin,láràárọ̀,Adv
ce,èyí,DAdj
cet,èyí,DAdj
ces,àwọn wọ̀nyí,DAdj
cette,èyí,DAdj
ces,àwọn wọ̀nyí,DAdj
l’,náà,Det
le,náà,Det
la,náà,Det
les,náà,Det
un,kan,Det
une,kan,Det
des,kan,Det
du,náà,Det
à la,sí,Det
au,sí,Det
de,ní,Det
maman,Ìyá,N
